test_id	language	trial_set
ivec15-lre_aaabxec	out_of_set	eval
ivec15-lre_aabjkxc	thai	prog
ivec15-lre_aaffovc	tagalog	eval
ivec15-lre_aaiefkc	kyryz	eval
ivec15-lre_aandfmc	out_of_set	prog
ivec15-lre_aarvsdc	bosnian	prog
ivec15-lre_aauzhnc	thai	eval
ivec15-lre_aaxaasc	burmese	prog
ivec15-lre_abairkc	uzbek	eval
ivec15-lre_abakyfc	zulu	prog
ivec15-lre_abczsec	urdu	prog
ivec15-lre_abimqwc	out_of_set	eval
ivec15-lre_abjpdqc	czech	eval
ivec15-lre_abskiyc	cantonese	eval
ivec15-lre_abxmqyc	czech	prog
ivec15-lre_acbgysc	uzbek	eval
ivec15-lre_acekddc	indonesian	eval
ivec15-lre_acfpzoc	spanish	prog
ivec15-lre_acovrqc	out_of_set	prog
ivec15-lre_acywasc	shona	eval
ivec15-lre_adbyhyc	slovak	eval
ivec15-lre_adecfmc	georgian	eval
ivec15-lre_adhdllc	cantonese	eval
ivec15-lre_adifsgc	kosovo	eval
ivec15-lre_adiyqqc	georgian	prog
ivec15-lre_adkbooc	out_of_set	eval
ivec15-lre_adqoqic	oromo	eval
ivec15-lre_adtjqnc	out_of_set	eval
ivec15-lre_adtmiuc	shona	prog
ivec15-lre_adulosc	azerbaijani	eval
ivec15-lre_aduwslc	out_of_set	eval
ivec15-lre_advgrxc	out_of_set	prog
ivec15-lre_adxxlzc	tagalog	prog
ivec15-lre_adymjhc	tajik	eval
ivec15-lre_aefkzhc	burmese	prog
ivec15-lre_aegmiyc	out_of_set	eval
ivec15-lre_aekdpkc	slovak	prog
ivec15-lre_aenvrgc	french	prog
ivec15-lre_aepakkc	pashto	prog
ivec15-lre_aeppbxc	thai	prog
ivec15-lre_aetfxhc	kazakh	prog
ivec15-lre_aevrehc	slovak	eval
ivec15-lre_aewyjic	zulu	eval
ivec15-lre_aeyyyqc	romanian	eval
ivec15-lre_afflsyc	amharic	eval
ivec15-lre_afljwtc	georgian	eval
ivec15-lre_afolctc	out_of_set	eval
ivec15-lre_afpobac	bosnian	eval
ivec15-lre_afqlskc	arabic	eval
ivec15-lre_afqntyc	kosovo	eval
ivec15-lre_aftjixc	swahili	prog
